Titile,Review
Great airline with good servive,"We got moved to a later flight (three days later!) because of snow in the NY area and JetBlue was so easy to deal with to make the change. Flight was great, on time and service as always was perfect."
Not a bad flight,"A very enjoyable 5 hour flight. Not too noisy, not to bumpy. Jet Blue has more leg room than most other carriers so we enjoyed the comfort."
Always JetBlue,"Flight was very smooth, no issues. Departed and arrived on time. Extra leg room on JetBlue seats is always a big help, especially for a long flight like this. Tv and wifi is a bonus"
Love the Blue,"The little extra leg room, the free movies and direct TV and good snacks for an airline make for a nice flight"
Weather made it a challenge but they got us out,We arrived for the flight to Ft Meyers with some light snow and more expected. Jet Blue was good at getting us on the plane in time to begin deicing. Deicing took longer than anticipated. Then we sat by the gate for 15 minutes before finally being told of a paperwork issue being
"4 Flights, 1 Huge Frustration","JetBlue caused a very long delay of flight 386 in Barbados so the crew could sleep for 9 hours. JetBlue, why wasn’t another crew made available if you knew that that was going to happen? After getting up at 3:30 AM Sat for a 6:28 AM flight, only to have our flight delayed til"
The way it used to be,The flight was good and on time. For this short flight drinks an a selection of bagged goodies were given out. The luggage came out within 5 minutes of getting to the carousel. I can't expect any more from an Airline
Packed And Uneventful,"Of course we had a snow storm the day of travel, and therefore, our first leg of the journey was cancelled. We drove for four hours (in the storm) to our next connection which was packed and our seat assignments were cancelled. With luck, we made it aboard the flight which was"
Most comfy seats,"My experience on JetBlue was very good. I'm a bigger lady and the seats were huge and comfy. Everyone was very nice and the plane was clean. On my trip to Vegas unfortunately my screen didn't work, but it wasn't that big of a deal since I was streaming Netflix on my phone"
Basic short flight to Reno,"The flight was a short one, the fare was very reasonable and flying out of and back into Long Beach was so much easier than out of LAX. I opted for one of the mix-it-yourself cocktails advertised in the seat pocket on both flights and neither flight attendant knew what I was"
On time and good in flight service,"Flight boarded with easy access, Flight was comfortable and stewards were friendly and helpful. Captain started the flight with a little brief on our travels, that was appreciated."
Easy trip,It is only about 2 1/2 hour trip from Orlando to San Jose Costa Rica flying over Cuba. We have made frequent trips and find JetBlue to be our airline of choice. The only negative is that you have in flight entertainment while near the US but lose that after passing Cuba.
Unexpectedly fun and comfortable,"Comfortable seats, sufficient leg room, nice movies (for the length of the 2.5 hour fight), and friendly flight crew. We look forward to using Jet Blue again!"
Comfortable flight but . .........,"I had many flights with different airlines inside US , Jet blue was the best , good price , good leg space , wonderful movies and entertainment and........free and unlimited snacks and beverages but negative point was around 3 hours delay ,was announced "
My very first jet blue flight but not my last,I had never flown jet blue before but I was very pleasantly surprised by the entire experience. I loved the leg room which was a pleasant surprise compared to other airlines on which I’ve flown. I liked the WiFi availability as well as the seat back entertainment. The staff was
Bargain airline that still has leg room,"They are well organized and board on time. The attendants are helpful and courteous. They still seem to have more legroom than other discount airlines. However, their entertainment system stopped working as we got further from the US. The same was true on the return flight. "
Jetting with Jet Blue,"We always fly extra leg room, with our 2.5 lb Yorkshire Terrier, BeBe. Jet Blue is very accommodating,the flight attendants are always pleasant and willing to go the extra to make you comfortable. I recommend that people sign up for frequent flyer cards to obtain credit. Most"
First time flying and had a good experience,"Pretty straight forward. No free meals as advertised, but free wifi and no hassle with carry-on bags. Clean, newish plane. We will fry again. Good leg room in Economy class."
Handy Direct Flight,"Departed on time despite preflight negotiations with special needs family, and arrived early! Pleasant, basic cabin service. Way better than layovers at a hub airport or traveling to Newark or NY."
VERY PLEASANT FLIGHT,We took off on time- The hostess was very accommodating. Flight service was done in a timely fashion. Snack were good- they even came by to offer second rounds!! Kudos to Jet Blue
Good service,"After being stranded because of weather, we were finally able to get home from vacation by booking the last leg from Jet Blue. We were quite pleased with the airline. At the gate I asked if my husband and I could be seated together and we were. No hassles, no extra fee. On"
First Time,"First time flying JetBlue. Everything went well, we were very pleased. Would definitely use them again."
One way out,"Check in still looks chaotic but it is San Juan airport. The crew was friendly, seats were adequate for the 2hr flight and the flight was smooth. As often, arriving to the destination early does not impress anyone if we have to wait 15 minutes for a gate dealing with the anxiety"
Trip home,"Flight to San Juan left early which was wonderful, more beach time! Flight back home left early as well. Worst part was getting off the plane always takes forever especially if you are sitting towards the back. Really should have a better system to get people out quickly."
Excellent Service from a Friendly Crew,"We have five folks in our group, including 2 children. We've flown Jet Blue many times on this route and recommend it over all other options from Austin to Orlando. The crew is always friendly and accommodating of special requests and very much used to families and children on"
Legroom is amazing,"The flight was on time boarding, departing and landing. Seats were larger than most economy seats and there was an amazing amount of leg room. I had a very large backpack under the seat in front of me and I still had a ton of leg room. Was extremely comfortable during the"
Never Again,"Seating selection was a nightmare, my wife and I were flying with our 11 year old grandson on his first airplane trip, and when we booked our seats 24 hours in advance we were all given different seats and in fact I was charged $40 US for extra legroom for some reason in order"
not the way to end a vacation,I book a vacation flight with JetBlue because of the short flight times as I can't sit for long periods. the flight to San Juan was good stopping in FT Lauderdale and this was the same stop coming home returning to Cleveland. We get to the Airport in San Juan and we can't pull
Pleasant,Good flight & friendly staff. Had an empty middle seat so the extra space was nice. We departed & arrived on time.
FAVORITE AIRLINE!,"JetBlue is my favorite airline to fly with. They have great prices, plenty of leg room, comfortable seats and friendly staff. They have FREE wifi that you can use in the sky. You can't beat that!"
Relaibility.,I've been flying JetBlue since it started and I can rely on its service. I take it domestic and internationally.
Great seats and legroom,"JetBlue has some of the best seats and legroom in the industry! The seats are roomy and have a lot of padding, unlike the horrible seats on American and others. Very friendly crew and flight was on time!"
Disembark in DR is terrible,"The flight from NY to Punta Cana was uneventful, with the usual boarding issues but nothing major. Flight attendants were nice and trip was good......until landing. When we were disembarking the plane, passengers have to walk down a steep stairway to the ground. I have bad"
Canceled their flight and made us buy a new one,"NEVER fly Jet Blue! They canceled our flight home, leaving us to pay $400 for a different airline ticket to come home, and since the flight was canceled we had to pay another $100 for a decent hotel room, not including food and taxi and other expenses. All around with tax and"
Love Jetblue,"On our flight, there were no seats together available, so we received our seats at the gate and were very happy to find we had been upgraded at no cost to extra space!"
Long flight,"I generally like JetBlue, decent in-flight entertainment, on time, easy enough connection. That is, the airline is no worse an experience than any other airline, which for me is a miserable experience to endure for the sake of getting where you eant to go. Seattle to Curacao is"
Great Adjustment,"Flight boarded right on schedule. However, the crew couldn't close the door and after a few minutes the captain announced the plane was grounded and would not be leaving until it was prepared. Within 5 minutes JetBlue had found another plane and we were on our way with just a 1"
Someone in my Seat and a Rude Flight Attendant,"We flew home with JetBlue because they are one of the few airlines that flies into Long Beach Airport which is only 5 miles from our home. First off we were delayed boarding by an hour because they swapped planes last minute. Which this was fine, I like the Seattle Tacoma"
Always consistently good!,The telephone reservationists at Jetblue Vacations was wonderful-she was able to get our round trip airfares and an Avis rental car combined into one reservation. The security & gate experience was normal for JFK. The inflight crew worked hard and made our flight enjoyable &
"Great people, on the ground and in the air!","We had to get a ticket at the last minute to complete our trip to Ireland, and the least expensive we could find was to go through Boston on Jetblue. I had heard all kinds of bad stories about Jetblue so I was dreading this leg of the flight. What a pleasant surprise to fly"
The only way to fly,We opted to use the extra leg room option on this trip and heartedly recommend spending the extra money. Not only do you get on just after the first class passengers so baggage storage is easy but you actually have enough leg room to allow you to move around comfortably. The
Only Fly JetBlue!,"JetBlue is the ONLY way to Fly...The MOST leg room anywhere! FlyFi, movie, snacks, friendly service!"
Jolly good time on jetBlue,Excellent flight! Flight attendants were friendly and gracious. Seats were VERY comfortable. Snacks were plentiful and each person given a choice of goodies! Schedules were kept; luggage delivered in excellent time once we arrived in Boston..
Easy travel,"Other than delays to our flights, the flights themselves were comfortable and uneventful. I’m only 5’ tall, so I had ample space. Might not be as comfortable for taller or wider travelers. I also liked that seats did not recline so I didn’t have the seat in front of me in my"
Inexpensive and Easy,A pleasant surprise for economy travel both domestically and internationally. On time departures and arrivals with extra legroom in economy. We opted for extra extra legroom up front. We will definitely use them again. There was a delay in our departure from BGI due to weather
I hate flying,"I absolutely HATE flying. I will avoid it if I can but I will not let my fear of flying keep me from traveling. We took Jetblue. Paid for the extra legroom and the early boarding and I have never been happier that we did that. Free movies, Wi-Fi, snacks and coffee. The"
Great Customer Service,"My luggage had a couple of the wheels broken during the flight. When I spoke to the Jetblue rep at baggage claim, they were very friendly and apologetic. The replaced my luggage at baggage claim with a good replacement. It was nice of them because it would have been a pain to"
Great Work in a Rough Flight,This flight was one that got caught in the extremem winds over DMV. We took off from Orlando fine. Hit VA and the fun started. Couldn't land at National which is where we were supposed to go. Flight was really rocking and reeling. Diverted to BWI and finally got down. The pilots
Very enjoyable flight.,"This is my and I first time on JetBlue Airlines, but I have to say it was certainly a wonderful experience. Everyone we dealt with was so hospitable. The plain fare was affordable. We will be flying on JetBlue Airlines again."
We finished early. They changed our flights for free !,We finished up our business early and arrived at the airport for a long wait. We asked if there were earlier flights to our destination and were told yes. The booked us on the earlier flight without charge. Friendly and accommodating the whole way. Last time I experienced that
Awesome ! Old fashioned Customer care !,"I was impressed with the size of the seats, the courtesy of the staff, the overall sense that passengers were more than cattle to be milked for extra fees. I was also impressed with the fact that it was the best price and itinerary. It was the best airline experience I have had"
We've had terrific luck with JetBlue,There is no First Class on JetBlue but we've always had first class treatment. We purchase the extra space seats and there is plenty of room. We fly twice a year from Boston to San Jose or SFO and always choose JetBlue because of their faithfulness to time schedule and helpful
Just a star away from 4,"Although we have always been happy with Jetblue, we were not happy with the crazy high ticket prices and then the additional $25 fee for each checked bag. We paid over $6000 for 4 round trip tickets with our friends. I tried to get cheaper tickets as soon as tickets were"
On time as usual luv this airline,purchased even more space and speed well worth the extra room and pre boarding that comes with this ticket. Movie and TV selection was good and free wifi was a bonus. Wish they would fly out of Islip !!
Hit or Miss,"I am a jet Blue Mosaic member and can say most times it is a breeze but be prepared especially the evening flights. Seems like the day gets caught up and delays the evening flights. On 8 or 9 pm flights, we waited till 1:30 in the morning once. Tough on a small airport where not"
1st Time flying with JetBlue,"I don't get much of an opportunity to travel on JetBlue as they are mostly an East Coast based service. What drew me to their website was their insanely reduced fares - compared to that of other air carriers. Needless to say, I was a tad skeptical about this being too good to"
Flying with Jet Blue,"Flying Jet Blue is a crap shoot. Sometimes good and sometimes bad. Sometimes the flight crew can be really nasty One thing i really hate is, i have a piece of luggage that is specially made to go under seat, but if i am on an older jet blue plane it will not fit at all and on"
Ridiculous that there is no power on a 5 hour flight,Jetblue needs to upgrade their planes to have power. This Plane was old and had a screen small which I really did not use anyway because the movies were childish '
Very kind and attentive staff at Albuquerque airport,"Very helpful kids at ABQ airport. They don't have a baggage agreement with DL so couldn't interline my suitcase to Europe, but they were so nice to me. Everything went smoothly on the flight and we arrive 20"" early. When I got to Terminal 4 at 6:30 I was told I would have to"
"As a frequent flyer, I love this airline!","As someone who flies a lot for business, I had my first JetBlue experience yesterday. With severe snow storms in NYC, I was left with my schedule of appointments cancelled and JetBlue were able to change me to an earlier flight with no hassle / cost. The legroom in standard"
Cancun Flight February 2018,Flew JetBlue from Providence RI with a stop in Orlando. Price was super expensive because it was school break week and after much shopping spent $945/person round trip. Connecting flight from Orlando to Cancun was delayed one hour (not weather related) and the TV in front of me
Logan - awful Jet Blue - moderate,"The flight with Jet Blue was great. The service for senior citizens and handicapped has been 50/50. For this flight, at one airport the handicap pickup was good at the other there was no service. Logan airport is one of the poorest airports in the world. Many things are"
JetBlue left me feel BLUE!,"This flight was my last leg of 21 hour travel from South America. I planned my travel very carefully, including choosing my seats in advance. It is very important to me to have an isle seats!!! When I was getting on two flights by JetBlue, I was told that my seats were not"
uneventful- the way it is supposed to be,"We (Family of 3) flew Jetblue from Tampa to boston in february. checked in on line, printed boarding passes at the airport. Bag drop was simple enough. Flight was on time, yet full. the cabin crew were friendly enough. the only complaint was a handful of the TV monitors weren't"
"Pleasant staff, clean airplane","We fly JetBlue as often as possible and always get the extra leg room rows that allow for earlier boarding, room to stretch out. Staff is pleasant, helpful."
"Once an airline darling, now sliding into mediocrity...","I recall the early days of JetBlue, the little airline that could, where everything was just right, prices competitive, their frequent flyer program firming up the ever growing clientele. What's left are the aging planes, the leather seats, some of which stopped reclining, the"
Another fine Jet Blue Experience,"Charleston is a fine place to fly from. Jet Blue now has 2 non-stops a day to Boston plus other flights. Their service here is just fine. Quick check in, friendly staff at every turn and they generally leave on time. We always avail of their check your bag at the gate requests"
Mumbled Announcements by Cabin Crew,With aircraft having less luggage space than one carry on per passenger drop the charge for checked bags. Cabin crew were relaxed to the point that nothing really mattered but to cap it all the cabin crew announcements by a female member of the crew for whom Englich was a
Great Airline,"JetBlue was very accommodating when our original flight was canceled because of severe weather in Boston. They worked with us to reschedule on the next possible flight. Service over the phone, online, and in person at the airport were all excellent."
Bad Experience Both Trips,"When checking in, all of our seat assignments were switched around. Our reservation had my wife and I in the row in front of our three boys. When we checked in, the boys were together but my wife and I were separated and not in the row in front of the children. It took a lot"
"Hey, we landed safely","First the flight crew was delayed, so the flight was delayed. They had to be limo'd up from Ft. Lauderdale. Then the entertainment system kept crashing so there wasn't one for half the flight. And my overhead light didn't work. And finally, when we landed, the pilot hit the"
Very relaxing,"Awsome service very comfortable seats and leg room, very pleasant and professional attendants, looking foward to next trip on Jet Blue"
"Great price, Great Flight","I had little expectation that the flight would go well because of the price. I upgraded as you get a carry on and free luggage with the upgrade. The flight was comfortable, on time, and I was impressed with this airline. Staff were helpful, I will fly Jetblue again."
Wonderful,"I fly several times a year, sometimes several times a month, for business reasons within the U.S. Whenever possible, I try to fly jetBlue from my home airport Boston. The route network is quite good, the prices are fair and sometimes quite good, and the seats are good with ample"
Nice Flight,"I have no complaints. Flight left on time, landed on time, and landed safely. The flight attendants were polite and answered questions if asked. I personally didn't need anything but I saw them being very patient and accommodating to some families with small children. I"
My favorite airline,"I love flying JetBlue....they offer free wi-fi, unlimited snacks and tv/movies. Their customer service is excellent and leg room is better than almost any airline I've flown."
Love JetBlue,We absolutely loved our flight first off the pilots flew a fantastic flight both to and from. The stewardess were absolutely polite and very friendly and helpful. So A+ for the whole crew. The airport JetBlue excellent. We are only going to fly JetBlue if at all possible! Love
Affordable. Reasonable.,Flew last minute with my gf for a long weekend away from Vegas. The two of us flew with less than 3 hour notice to Long Beach for less than $300 round trip! Flight there was delayed but still it was super easy and incredibly affordable. We will do that again!!
Old fashion economy seating - NOT CRAMPED!,"Good price ($190 round trip), free seat selection long before the flights, easy pre-flight customer service, easy fast check in and best of all - people sized seating in economy! Who knew that still existed! Flight attendants were efficient but not very friendly. $25 bag"
"In spite of growth, Still a good airline, but wish they'd fix the seats","All thumbs up on JetBlue with one small exception: on the last three flights, my seat would not recline. The 2""-3"" it is supposed to recline doesn't make any real difference, but still annoying. I got some isometric exercise trying to make it move, but to no avail."
Delayed but somehow arrived on time,"I take JetBlue ever now and them, mostly from SF to LAS but they had cheap flights coming home from an LA weekend trip I took so I booked with them. Our plane was delayed about 30 mins. After the crew cleaned the plane from the previous flight we boarded and we're delated"
Always a pleasure,"It always amazes me the difference this airline makes in travel. We flew on AA down there and the flight attendants were just so unhappy and not happy to help, what a contrast to Jetblue. They offer more snacks, if you ask for more water (God forbid) theres no huff, there are"
Love JetBlue,"tv's behind every seat with either direct tv or first run movies, premium free snacks, great miles programs. i will always fly jetblue as my first choice of airlines."
Great flight and crew!,It my wife and I's first time flying with our daughter. She was 5 months old. The flight crew was great and very helpful with the process. The flight went smoothly and our daughter had a great trip. The even more space seats offered plenty of room to be comfortable.
A321 are less comfortable,"I find the new A321 less comfortable than the A320. The seat cushions are thinner and less comfortable, and the controls for the infotainment screen are exactly where the average person would rest their arm, causing unintentional adjustments in the controls, such as making the"
No food,"They didn't have any of their café items (salads, sandwiches) aboard. Did they just forget to load them? Some customers had counted on being able to get a sandwich. Suggestion: eat before flying. This is not the first time this has happened."
Stolen shaver from my check in luggage. JetBlue gave me $50 towards my $185 Brsun shaver.,JetBlue did not treat me very well at all. My $185 shaver was stolen ftom my check in luggage and JetBlue offered me $50 JetBlue credit. JetBlue should find their thieves and honor my claim in full.
Thanks for putting us in row one,"Snacks are good. Coffee is good, yes I drink it. Flight attendants were gracious, helpful and attentive. Flight was on time. Plenty of free entertainment was available."
Good flight,"Good flight, the plane was comfortable, the flight attendants could be more kind, the snacks were as expected for an economy class service"
"When you switch , you have to pay.","I get free bags with jetblue. When you go to KeyWest you have to change planes. Going down, the bags are free even when you switch over to Silver Airways. There are no direct flights on JetBlue to KeyWest. Coming back, you have to pay for your bags on Silver even though you get"
Good service,Our flight was smooth and uneventful. Just the way we wanted it to be as we headed to vacation. We will use this airline again - gladly!
fll us a hop skip and jump to MBJ,Great quick flight to MBJ took SW home. If SW had better flying times I would've flown R/T on them instead. SW doesn't charge for luggage and that's a big deal
My favorite airline hands down!,"JetBlue is my go-to airline for all travel. I travel mostly between South Florida and LA, Hartford and Austin and there are non-stop flights for all those routes. I have gotten amazing customer services from start to finish."
Houston Hobby JetBlue Staff Unprofessional,"Flight was late from JFK to Houston. Scheduled to arrive 5:44, actual arrival was 6:33. The delay was due to bad weather and understandable. Went downstairs to the baggage claim within 10 minutes and never saw baggage or any Jet Blue staff. No pages were made and no screen"
Brand new plane yet my plug for headset was broken.,"Brand new plane smooth ride and only about 1/2 hour late. Boarding process is very slow, wish all airlines would adopt Southwest boarding style! Flight attendants are friendly and generous with the seltzer/soda (you get the whole bottle). On the way down my tv was not working"
New Planes but broken TV and broken headset plug,The boarding process is quite slow. Wish all airlines would board like Southwest which typically is fast and you leave the gate on time. We were about 45 minutes late but could not understand the over head announcement. Plane was relatively new. The flight attendants are
Lots more leg room than any other airline I've been on,"Jet Blue provides more space than American and United. We were on a small plane so all the luggage had to fit sideways into the overhead bins, meaning they could hold fewer pieces. One thing I like about JetBlue is that each seat has its own tv, unfortunately, they didn't work"
Our first time and we were impressed!,"We had a scheduled JetBlue flight to Boston to connect to an IcelandAir flight to Rekyavich. The weather that afternoon had sleet, wind, and/or rain along the Atlantic seaboard giving a high likelihood of delays or cancellations. We arrived early to BWI and when we gave our"
Soaring to new heights,"My last flight to California was mis-booked. I received an alert there had been a gate change on my connecting flight the day before I intended to fly. I panicked! Connecting flight? I wasn't even on a plane! I called customer service, and while they could have told me it was my"
Frequent Flyer with this Airline,"My go-to airline when taking a vacation, whether booking directly with their website or a 3rd party website such as Priceline it is Always a pleasure flying with JetBlue, especially on international flights. Plenty of legroom, great customer service prior to boarding and"
JetAirways has given the very good service.,"If booked in advance, Jet Provides the Reasonable prices and also, it gives you JP Miles while you're the member of Jet Privilege Member."
Great flight!,"Awesome flight. On time round trip with warm staff. Although it was a very short flight and small plane, seats were really comfortable and they offered decent beverage service with choice of pretzel or cookies."
Worst flight of my life,"Urge anyone reading this to pay a little bit more and use any other airline but these. Their staff are nothing but useless, rude and condescending. We got charge FOUR times for checked luggage, and refuse to refund us or acknowledge their mistake. Carlos and Jenny at Bogota"
JetBlue was great!,"We flew out of worcester and had a great experience. Flight was slightly delayed b/c of the incoming flight was late, but we still made it down with plenty of time. No TV channels but movies were available. Everything went smoothly with our flight down and back. The flight back"
Questionable Communication,"It's no fun, when the day starts with a text message from your airline postponing the early evening flight by about 2 and 1/2 hours. But it's even worse, when you get 4 additional messages during the day telling you anything from different take off times to even ""no delay"" and"
Flight to Aruba,"Only disappointing feature was the $25 per bag charge after the fact, when ticket had already been purchased. Came to $100 more for both legs of the journey."
Jet Blue,Jet blue is the only airline I travel with - never had a complaint about there services. The airline is always clean and the people that work on the airline are also friendly.
Needs improvement,I guess they’re coming to Ft. Myers but they’re not there yet - the baggage tag kiosks! I paid for my bag online & expected a speedy checkin! No way! I lined up with every Jet Blue passenger in the only line designated to procure bag tags & then drop bags. And the man behind
Great crew and Great flight,"Jet Blue flight on Saturday morning was great. No delays even with the storm in the northeast on Friday. Smooth flight, crew was great and Jet Blue continues to exceed expectations on most flights."
Best deal!,"My family found this airline to fit our needs wonderfully. They were able to put my family of four together, they moved us up to seats with even more space. Which the regular seats offer more than enough space. But most importantly they offer inflight snacks that are safe for my"
great airline,First time flying JetBlue and definitely will not be the last. I was very impressed with the airline and its degree of service.
Excellent Service and Leg Room!,"Friendly staff on and off the plane. Amazing leg room for economy! Check-in is a snap as is ticket purchasing. The grouping process for boarding was peculiar. Six of us booked aisle seats, three rows together with one on each side. The farthest forward and back got a"
"JetBlue customer 4life! ","I absolutely love JetBlue’s non-stop service to JFK. Only drawback is that they operate seasonally. If that were the case, I’d use them every single time I travel. They also provide health conscious snacks!"
Wish they flew everywhere,"The few times I've been able to fly Jet Blue, it has been a wonderful experience. Reminds me of how airline customer service used to be ~30 years ago. Yesterday, I had to book a flight for my sister to fly to my mother's funeral. The agent was so kind and patient. Could not do"
"Flight delayed 3 hrs, gave us drinks and snacks while waiting at the gate","Our flight was delayed for 3 hrs. The first gate agent gave info that was not accurate.He Tsaid he was not the agent for our flight, but tried to help. He said the flight from sfo was delayed bcuz of weather, when in fact it was mechanical issues. The plane that replaced our"
on time flights and great airport and on board service,"the jet blue experience was amazing on all different levels. comfort flights, great staff interaction...good snacks."
Flawless round trip to Puerto Plata & back to Boston,"We were a half hour early on the flight to POP, WOW! Flight back slightly delayed due to weather issues in Boston, not their fault. Only complaint is lack of check in personnel at POP caused unneeded standing in line."
Jetblue is Awesome,"We had a great flight. Nice to have a free snack, a selection of beverage and entertainment offered on board. You pick a seat when booking and get a free carry on when others are charging for everything. For most of my travel, Jetblue is my only airline when available for my"
Mint is the best first class on domestic flights,"I was one of the first traveler who experienced Mint Class. I loved it! Since than I flew Mint at least 20 times and every time I find improvements. The planes still look new, the entertainment is improved substantially. The food is excellent, the service professional and"
Economy class with reserved seat,"No problem checking suitcase and golf bag for this direct flight. Although TSA was annoyingly slow in Florida (not Jetblue’s fault). Departure area was crowded but still got seats. Was able to check a carryon bag free at the gate due to expected lack of overhead storage space. "
Best domestic airline,"Love, love the leg room on JetBlue flights even in economy! The flight was on time, the crew very professional. And the snacks! They sure are not stingy, giving full cans of soda, Dunkin Donuts coffee and can even request 2 bags of the chips given with a smile."
Only american airline worth flying on,"Again this is an outstanding airline with new well maintained planes. It also cares about running on time. Flights do not appear to be cancelled regularly and changed daily as many US airlines do. Travelling in Mint class, basically business class , with fully flat bed and some"
Airline takes a dive,"A two flight return trip as we were boarding our first flight I received notification the second flight 1816 on Feb 17 was canceled to unforeseen events. We asked a flight attendant once we were in the air, she inquired but was unable to give us an answer letting us know a gate"
Jetnlue,"Always enjoy flying JetBlue. Seats comfortable, the tv screen for each passenger, and attentive flight attendants all make a good trip."
First experience and it was awesome,"Our trip to D.C. was awesome, starting with the flight. This was the first time we flew with JetBlue and it will not be the last one. The flight from Orlando to DC was great but the flight back to Orlando was even better. The 2 flight commissary attendants Zach and Jennifer were"
TERRIBLE SERVICE IN SAN DIEGO!!!!,"After booking a family vacation to SD, we would strongly recommend against flying JetBlue!!! There are literally NO employees staffed to take bags at the Bag Drop/Check In counter, not one. They actually have the lack of care to post a sign that they are not open! It’s 9:30"
Flight Crew,"The flight crew can make all the difference! While neither crew was bad the crew on the flight to Las Vegas was fantastic! Great energy and attitudes! There were more crying babies and it was a fuller plane, but they didn’t let it show!"
On time and comfortable.,"First time on JetBlue, but it wont be my last. Flight was on-time. Seats were comfortable with lots of leg room (more than I have seen except when sitting business class or in the over-wing exit seats. Service was good and even had a free snacks. We flew return flight via"
"Very personable, caring airline personel",Apparently this airplane had scheduled maintenance the day prior to our flight. We had some challenges initially with a gate change but the airline staff were so pleasant and upbeat it was hard to get angry. We were delayed initially for approximately one hour but then boarded
Always a nice experience,"I travel with my family (2 adults and 2 toddlers). The experience with JetBlue was very pleasant. The staff was helpful, kind with the kids and made the travel less stressful for us. Always JetBlue is my first option for traveling. Obviously if you are traveling with toddlers"
One of best airlines,"Try to fly Jet Blue as much as possible. TV a plus when traveling long distances, crews are always friendly and helpful. Prices have been raised but still an excellent airlines for the money."
Better than most,Nice attends on a flight that left and arrived on time. The is almost enough legroom and the snacks suffice for a short flight.
A FLIGHT ABOVE THE REST.,"The heights of great vacations are not attained by poor and delayed flights, but whilst their competitors slept, Jetblue, Trueblue, was working on it, even throughout the night. to bring me safely, and on time, to enjoy the sweet sounds of, and the glorious Island sights."
Florida trip,It is nice to have TV's when you fly... our flight was about 3 hours so it helps pass the time. Usually we always have nice flight attendents . You can have more than one snack and flights are usually smooth unless it is a bad storm.
Love The Smaller Planes,The smaller Embraer 190 planes have 2x2 seating and are a delight to fly. Seats are wider and comfortable and there is more than enough room so you do not feel cramped or claustrophobic. Very good service and a nice selection of free snacks.
Unbelievable price and legroom,Flight was delayed for de-icing the plane but we made up some time and arrived close to scheduled. The seats are comfortable and legroom is better than Southwest. Free wi-fi and tv on the back of the seats. The return trip was ok but we had to wait for other planes to leave
Very Positive Experience,"The best thing about JetBlue is the inflight TV/movie. Every seat has its own monitor built into the back of the seat in front of you. You can select from about 2 dozen channels, or you can watch a movie. The last 5 or 6 times we have flown, I have watched a movie, and the time"
Very professional!,I always enjoy flying with this airline. They are very well priced and provide exceptional personal and professional service. The plane was very clean and I loved having a personal tv to watch. Their direct flights are the best.
Jet blue is very good experience and the staff is professional and pleasant,"Jet Blue Terminal 5 at JFK is the best terminal at the airport. The only issue is the arrival pick up is a huge mess , but all the arrival areas at JFK are a disaster. Also- if you park in the lot -youneed to go up the the 3-4 floor to get into the building and it is a"
Could be better!,"jetBlue is better than most, but not as good as Southwest. We did like that jetBlue flies non-stop to St Lucia and that on the way back, one bag was covered in the cost. Seats are just ok, maybe a little more room than some. The technology/ movie options did not work there or"
Marvellous Jet Blue.,"Am a senior flew to New York San Diego to JFK .Despite terrible storms the flight was superb.Very comfortable seat ,excellent leg room plus easy to use entertainment.Excellent choice of entertainment.Extremly helpful cabin members.Easy on and off.Arrived on time. Will always"
All that I could Ask For,"This was my second trip on JetBlue to Havana. It couldn't have been better. Non-stop service to Havana. On both legs, we actually departed several minutes early! I booked the extra room seat up front, and there was as much room as American Airlines First Class on their smaller"
Nice airline,Stewards were friendly and helpful. Seats comfy and roomy. TV screen available. Drinks and snacks available.
my first experience being on Jet Blue to Charleston SC,my first time experience with Jet blue was possitive take it from NYC to Charleston SC and back home- the only negative going home was the TV screen in my row of seats was not working- otherwise our flights were on time and there were no other issues. a good selection of free
Great airline!,"Southwest is by far my favorite airline, due to its laid back attitude, but JetBlue is a close second. We were able to fly to NYC to spend time with family, due to a great bonus gift we got from JetBlue last year. We had some weather delays last year, and they gave us bonus"
Problems but at least willing to make it right,"Checking in and flight went well, unfortunately I was the only one on the plane who's video screen would not show in flight entertainment, I pointed this out to flight attendants and although they couldn't do anything about it they did offer a free adult beverage(I declined) and"
Great service during this weeks NE storm,Jetblue were very helpful chainring our flights home this week due for the storm in the northeast. Great service all around.
Good Overall,We recently flew direct from Boston to Montego Bay. We were a bit surprised that not only did we have to print our boarding passes but also the tags for our checked bags. Going through security with pre-check was a breeze. For some odd reason our seats which were purchased
Almost Always a No Problem Airline,"My wife and I have traveled on Jet Blue planes on many occasions. We always try to get the extra legroom seats up front. Th are over priced, but we appreciate the comfort. The attendant on board have always been very nice and attentive."
Direct flight from FLL to Quito,Direct flight. Ample leg room. We were provide meal options and WiFi. Courteous staff and excellent landing!
Fine Experience,"Terrific service from check in to arrival. Helpful people all the way and more comfortable seating than most other airlines. My only complaints involved somewhat lackluster entertainment selections and tasteless snack items. But the staff is caring and attentive, and the"
Worst Airline. Avoid at all cost,"I fly every month and 90% of my flight have been delayed. I have a Jet Blue credit card so I keep flying with them, but honestly I'm thinking of cancelling it and changing airlines. 5 hour delays and constant flight cancellations are not okay. There is never any apology for the"
First Time on JetBlue,"Flight was delayed an hour before we boarded...not a good start! But once boarded, the seats were comfortable, and I got what I paid for...the best priced flight I could find from Ft Lauderdale to Chicago. I would fly on JetBlue again."
