Title,Review
Can’t wait,We are excited to board the plane because according to the forecast it will be on time which is so rare for Jetblue flights but thankful it was on time.
We Always Fly JetBlue!!,"We Love flying with JetBlue!! Our son & daughter-in-law live in Las Vegas, so we try to visit them as often as their work schedules allow!! JetBlue Never disappoints!! Comfortable seats, wonderful airline personnel, and a no-hassle way to make a reservation, check-in, and board"
Fallen Off,My wife and I were always big fans off jet blue from the beginning Like any new company they start off great Couple years of doing a good job Then profits get in the way Planes don't get fixed like seats not reclining bathrooms not working tv's Broken And I guess a $15 dollar
Winter break,"Always a pleasure to fly jet blue, excellent crew , smooth ride , good cofffee , a plus to have wiffi"
Flight was on time but the customer service on the plane is poor.,Not really sure how to rate this. The plane was on time and we got to and from safely on a non stop flight. So... that's the good news and really all that matters. I do like that the entertainment screen in in front of you so you don't have to down load an App and watch on
JetBlue,JetBlue great Flight. Good service. Don't nickle & dime the customer for seats etc etc Friendly staff. Serve beverage & snacks. Great airline especially in this new environment.
Wonderful Experience,"We boarded and were on our way 20 minutes earlier which was awesome! Extremely courteous crew, I have a 2 yr old and a 7 yr old so things can get tense! But they were there with a smile to help me keep things under control. love flying JetBlue"
Round trip from Boston to Phoenix,"My husband and I purchased extra leg room for these flights. ON the way to Phoenix, our flight was held up due to a woman refusing to check her child's car seat. She ended up sitting behind us and her children kicked our seats for the entire 5 hour flight. On the return flight,"
Horrible flight,"Our flight was at 4:30pm, after being delayed 3 times they finally told us that our plane was broken and they were trying to fix it. Three screws were missing and they could not reach them to fix it. Finally at 8pm they decided to fly out anyways and thought it “was relatively"
The best,"Great airline, free tv and movies, leather seats and great prices when you book early. Friendly staff that try to make flying better then it is today compared to before 911."
jetBlue Falls Short Again......,"I paid for jetBlue's Even More Space product which is supposed to give you extra leg room, expedited check in, and early boarding. I was very surprised to see that jetBlue did not provide the expedited check in that was paid for on both legs of the trip. jetBlue should refund"
Charging for EVERYTHING!,My go to airline has always been Jetblue. The service and comfort compared to other airlines for the price have always been worth a little extra money. The problem is they have started a new policy where they charge travel companions to be seated together. My husband and I
Surprise!,My husband and I have always preferred Southwest but they did not fly our route so we chose JetBlue for the price and timing. We liked it a lot! It really was roomier and everything about the flight was great except the long layover coming home in Fort Lauderdale but we really
Mint,If you can use mint class do so. Well worth the cost for a long flight.Service and seating are excellent. good choice of on board entertainment. Food selections are varied and well presented. Priority boarding and luggage first off as well.
I love JetBlue Airlines!,I love JetBlue Airlines! My flight was excellent and so was the service. The flight was on time and very short but very enjoyable.
reliable flight for a red eye,on time; good value; I use this flight (often full flight) to get to the east coast quickly and on time
great seats very comfortable and somewhat of a leg room,"great flight until we got to Florida and found out our baggage was broken, they are sending us a new and gave a $30 credit which we could not use to pay for our bag fee it can only be used if we fly again with jet blue, which I did not like because we paid for out luggage to go"
Trip to Fort Lauderdale,"Jet Blue doesn't charge for every little thing; i.e. Seat (particular row/seat), baggage (check in or carry on) like other airlines do."
Airline review,We recently had 4 flights in 5 days on Jr Blue. Mco sju stt mco. These were our first flights on Jet Blue. We found the overall experience excellent. The ground team and flight team were outstanding. Very personable and helpful and equipment was in great shape. We will
Good flight pre Dorian,One of the pilots went out of his way to help me on board and off! I have recently had two knee replacements. The flight was generally smooth in spite of a lot of major cloud formation due to Dorian. The pilots did a very fine job!
Excellent Flights,"Great Flights!!! Both flights were on time (as a matter of fact, one was even early), crew was terrific and I encountered no issues on either flight."
LGB to SMF,"Years ago Southwest had the stranglehold on this route but with Long Beach being so much easier than LAX, JetBlue is the only way to go for me. Great friendly service always. On time just about always and often arrives ahead of schedule. You pay an extra fee for the ""more leg"
Jetblue the Best,I love Jetblue. That is the only airline I will fly need assistance getting to and on the plane they always so helpful. the stewards are always very nice and will assist you if you need help.
